,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
83,2020-01-03 13:10,1130046200,2,0,437.1879,0,0,1,1,1,0,1,1
84,2020-01-03 13:45,1170018800,2,0,445.7189,1,0,1,1,0,1,0,1
85,2020-01-03 13:50,1150001002,3,1,43.5448,0,0,0,0,0,0,0,1
86,2020-01-03 14:00,1140000202,0,3,177.7644,0,0,0,0,0,0,0,1
87,2020-01-03 14:20,1060017504,0,0,483.9082,0,0,1,1,1,0,0,1
88,2020-01-03 14:45,1030000402,4,3,969.882,0,0,1,1,1,0,1,1
88,2020-01-03 14:45,1030000402,4,3,969.882,0,0,1,1,1,0,1,1
88,2020-01-03 14:45,1030000402,4,3,969.882,0,0,1,1,1,0,1,1
91,2020-01-03 14:50,1150003100,3,3,1182.2838,1,0,1,1,1,1,1,1
92,2020-01-03 15:00,1210005402,4,3,1341.4938,0,0,1,1,1,1,1,1
93,2020-01-03 16:00,1110021100,2,0,91.6116,0,0,0,0,0,0,0,1
94,2020-01-03 16:25,1120007600,2,0,554.2458,0,0,1,1,1,0,0,1
95,2020-01-03 17:20,1020001203,3,3,103.0509,0,0,0,0,0,0,0,1
97,2020-01-03 18:05,1100059900,0,0,283.6697,0,0,1,0,1,0,1,1
98,2020-01-03 18:10,1220001803,1,3,1227.73,0,0,1,1,1,0,1,1
99,2020-01-03 18:35,1230084600,2,2,362.4527,1,0,0,0,1,0,0,1
100,2020-01-03 18:50,1090010002,1,1,62.5763,0,0,0,0,0,0,0,1
101,2020-01-03 19:25,1210004003,3,3,214.5661,0,0,0,0,0,0,0,1
102,2020-01-03 19:50,1040017500,1,3,518.3084,0,0,0,0,0,0,0,1
106,2020-01-03 21:35,1060027000,1,3,1211.5916,0,0,1,1,1,0,1,1
107,2020-01-04 7:45,1150013206,4,1,49.8773,0,0,0,0,0,0,0,1
108,2020-01-04 7:50,1230002100,3,1,474.0094,0,0,0,1,0,0,0,1
109,2020-01-04 7:55,1170006700,0,2,421.9192,0,0,1,0,1,0,1,1
110,2020-01-04 8:40,1070018402,1,1,290.8805,0,0,0,0,1,0,1,1
111,2020-01-04 9:20,1020010701,0,1,530.9531,1,1,1,1,1,0,1,1
112,2020-01-04 9:25,1090008501,2,1,172.3204648,0,0,0,0,0,0,0,1
114,2020-01-04 9:40,1240039600,2,5,86.5727,0,0,1,0,1,0,0,1
115,2020-01-04 9:50,1070014800,1,1,304.8916,0,0,0,0,0,0,0,1
116,2020-01-04 9:55,1200005700,3,1,1039.256,1,0,1,1,1,1,1,1
117,2020-01-04 10:05,1130031100,2,2,228.2871,0,0,0,0,0,0,0,1
119,2020-01-04 10:25,1210020302,1,1,320.5579,0,1,1,0,1,0,1,1
121,2020-01-04 11:25,1020000501,3,3,710.2344,1,0,1,1,1,0,1,1
121,2020-01-04 11:25,1020000501,3,3,710.2344,1,0,1,1,1,0,1,1
123,2020-01-04 11:30,1030048000,0,2,320.5065,0,0,0,1,1,0,1,1
124,2020-01-04 12:55,1040002201,1,3,619.7155,0,0,1,0,1,0,1,1
125,2020-01-04 13:00,1210021902,3,1,256.2562,0,0,0,0,1,0,0,1
125,2020-01-04 13:00,1210021902,3,1,256.2562,0,0,0,0,1,0,0,1
127,2020-01-04 13:05,1130033900,2,0,96.9044,0,0,1,0,1,0,1,1
128,2020-01-04 13:15,1110001303,1,1,259.6091,1,0,1,0,1,1,1,1
129,2020-01-04 13:45,1030022700,3,1,373.9471,0,0,0,0,0,0,0,1
131,2020-01-04 14:25,1130017600,1,1,523.3164,0,0,1,1,1,0,1,1
132,2020-01-04 15:00,1130068100,0,2,471.5927,0,0,0,0,0,0,0,1
132,2020-01-04 15:00,1130068100,0,2,471.5927,0,0,0,0,0,0,0,1
134,2020-01-04 15:05,1220004902,1,1,340.3074,1,0,0,0,0,0,0,1
135,2020-01-04 15:30,1170020600,2,1,294.7148,0,0,0,0,0,0,0,1
136,2020-01-04 16:30,1170000400,0,6,2728.4369,0,0,1,1,1,1,1,1
136,2020-01-04 16:30,1170000400,0,6,2728.4369,0,0,1,1,1,1,1,1
138,2020-01-04 16:35,1070009201,2,2,865.3955,0,1,1,1,1,1,1,1
139,2020-01-04 16:40,1020000403,3,1,551.1068,0,0,0,0,1,0,0,1
140,2020-01-04 16:45,1020000401,3,3,359.094,0,0,0,0,0,0,0,1
141,2020-01-04 17:05,1210008011,3,1,556.9434,1,0,1,1,1,0,1,1
142,2020-01-04 17:20,1010014104,1,1,158.2851,0,0,1,0,0,0,0,1
143,2020-01-04 18:05,1010014102,1,1,80.0952,0,0,0,1,0,0,1,1
144,2020-01-04 18:20,1010042100,1,1,73.1514,0,0,1,1,1,0,0,1
144,2020-01-04 18:20,1010042100,1,1,73.1514,0,0,1,1,1,0,0,1
146,2020-01-04 19:00,1200008002,3,1,338.2306,1,0,1,0,1,0,1,1
147,2020-01-04 19:55,1220026904,3,1,147.2575,0,0,1,0,1,0,1,1
148,2020-01-04 20:30,1100002503,0,3,413.1342,0,0,1,0,0,0,0,1
149,2020-01-05 8:35,1130001001,3,3,211.0456,0,0,0,0,1,0,0,1
150,2020-01-05 9:15,1120013402,1,1,417.8754,1,1,1,1,1,1,1,1
151,2020-01-05 9:40,1140012100,2,0,438.5394,0,0,0,1,0,0,1,1
155,2020-01-05 10:25,1170029900,2,1,297.4527,1,0,1,0,1,0,1,1
157,2020-01-05 11:00,1010003603,1,1,183.7305,0,0,0,0,0,0,0,1
160,2020-01-05 11:45,1130025401,2,2,471.2609,0,0,1,1,1,0,1,1
161,2020-01-05 11:55,1070042600,4,1,400.803,0,0,1,0,0,0,0,1
163,2020-01-05 13:55,1070007602,3,1,137.6348,0,0,0,0,0,0,0,1
165,2020-01-05 14:10,1070000400,1,4,2412.8263,1,1,1,1,1,1,1,1
165,2020-01-05 14:10,1070000400,1,4,2412.8263,1,1,1,1,1,1,1,1
167,2020-01-05 14:30,1220001804,1,3,343.6313,0,0,0,0,0,0,0,1
168,2020-01-05 14:35,1220002100,2,2,781.2908,0,0,0,0,1,0,0,1
169,2020-01-05 14:45,1130005600,2,2,456.8706,0,0,1,0,1,0,1,1
170,2020-01-05 15:00,1070021701,1,1,45.6053,0,0,0,0,0,0,0,1
171,2020-01-05 15:05,1060003402,1,1,535.4945,0,0,1,1,1,0,1,1
172,2020-01-05 15:35,1080003105,0,1,784.7319,0,1,0,0,1,0,0,1
173,2020-01-05 15:40,1070055900,1,4,596.5311,0,0,0,0,1,0,1,1
174,2020-01-05 15:55,1200006000,3,1,1138.9208,1,0,1,1,1,0,1,1
176,2020-01-05 16:40,1200011702,0,1,136.316,0,0,0,0,0,0,0,1
176,2020-01-05 16:40,1200011702,0,1,136.316,0,0,0,0,0,0,0,1
179,2020-01-05 16:55,1110039700,1,1,501.4012,0,0,1,0,1,0,1,1
180,2020-01-05 17:40,1070029800,2,0,766.8641,1,1,1,1,1,1,1,1
181,2020-01-05 18:15,1030000700,4,3,646.1138,0,0,0,0,1,0,0,1
181,2020-01-05 18:15,1030000700,4,3,646.1138,0,0,0,0,1,0,0,1
183,2020-01-05 18:25,1000039900,1,1,79.2184,0,1,0,0,0,0,0,1
185,2020-01-05 20:40,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
187,2020-01-07 7:35,1070018702,2,0,346.3503,1,0,1,1,0,0,0,1
188,2020-01-07 8:15,1140024102,1,1,129.3407,0,0,1,0,0,0,1,1
189,2020-01-07 8:20,1020008602,1,1,204.2299,0,0,0,1,1,0,1,1
190,2020-01-07 8:40,1020046900,0,1,640.8013,1,0,1,0,1,0,1,1
191,2020-01-07 8:50,1220027902,3,1,148.6446,0,0,0,0,1,0,1,1
192,2020-01-07 8:55,1060026100,2,2,174.9422,0,0,0,0,0,0,0,1
193,2020-01-07 9:00,1110012500,1,1,406.5659,1,1,1,0,1,0,1,1
194,2020-01-07 9:35,1010003401,0,1,227.2727,0,0,0,0,0,0,0,1
195,2020-01-07 9:45,1020013001,1,1,446.8734,1,0,1,1,1,1,1,1
196,2020-01-07 9:50,1010020900,2,9,3383.2989,1,0,1,0,1,0,1,1
200,2020-01-07 10:45,1180035603,3,1,136.5653,0,0,0,0,0,0,0,1
201,2020-01-07 11:05,1030002001,3,3,604.6409,0,0,1,0,1,0,0,1
202,2020-01-07 11:10,1030029600,2,5,571.0209,0,0,0,0,0,0,0,1
204,2020-01-07 11:30,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
204,2020-01-07 11:30,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
206,2020-01-07 13:00,1050018802,0,2,839.0353,0,0,1,0,1,0,1,1
207,2020-01-07 13:20,1210021904,3,5,543.7978,0,0,0,1,1,0,1,1
208,2020-01-07 13:35,1100002702,1,1,321.0845,0,0,1,0,1,0,1,1
209,2020-01-07 13:40,1050008303,0,5,103.3165,0,0,1,0,0,0,1,1
209,2020-01-07 13:40,1050008303,0,5,103.3165,0,0,1,0,0,0,1,1
211,2020-01-07 13:45,1110013802,1,1,427.2435,1,1,1,1,1,0,1,1
212,2020-01-07 13:55,1010014103,1,1,117.4993,0,0,0,0,0,0,0,1
213,2020-01-07 14:00,1070007801,3,1,164.8642,0,0,1,0,1,0,1,1
214,2020-01-07 14:15,1030001902,3,3,1118.7726,0,0,1,1,1,1,1,1
215,2020-01-07 14:20,1170006600,0,1,610.1768,1,0,1,1,1,0,1,1
215,2020-01-07 14:20,1170006600,0,1,610.1768,1,0,1,1,1,0,1,1
218,2020-01-07 15:10,1110003300,1,1,491.8184,0,0,1,1,1,0,1,1
219,2020-01-07 17:35,1220101900,2,0,871.7172,1,0,1,0,1,1,1,1
220,2020-01-07 18:00,1220320600,3,4,398.4371,0,0,0,0,0,0,0,1
220,2020-01-07 18:00,1220320600,3,4,398.4371,0,0,0,0,0,0,0,1
222,2020-01-07 18:10,1210005301,4,3,1123.4752,0,1,1,1,1,0,1,1
223,2020-01-07 18:15,1220003000,1,3,1897.0993,0,0,1,1,1,1,1,1
224,2020-01-07 18:25,1210004002,4,3,97.6512,0,0,0,0,0,0,0,1
225,2020-01-07 19:05,1150004502,3,3,2107.4362,1,0,0,1,1,0,0,1
226,2020-01-07 19:10,1210014201,3,1,418.3152,0,0,1,0,1,0,0,1
227,2020-01-07 20:05,1120013902,0,2,1081.9235,1,1,0,0,1,1,0,1
