,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
88,2020-01-03 14:45,1150028200,0,3,205.7761,1,0,1,0,1,0,1,0
88,2020-01-03 14:45,1150028200,0,3,205.7761,1,0,1,0,1,0,1,0
88,2020-01-03 14:45,1150028200,0,3,205.7761,1,0,1,0,1,0,1,0
91,2020-01-03 14:50,1130004000,1,0,1350.8465,0,0,1,1,1,1,1,0
93,2020-01-03 16:00,1030051200,0,3,43.7506,0,0,0,0,0,0,1,0
96,2020-01-03 17:55,1110004701,1,1,43.5476,0,0,0,0,0,0,0,0
97,2020-01-03 18:05,1180008200,1,1,226.1264,1,0,1,0,1,0,1,0
98,2020-01-03 18:10,1010017101,3,1,49.0573,0,0,0,0,0,0,0,0
99,2020-01-03 18:35,1130033400,0,1,298.9041,0,0,1,0,1,0,1,0
101,2020-01-03 19:25,1210008300,1,1,454.6995,0,0,1,0,1,0,1,0
102,2020-01-03 19:50,1100007901,3,1,154.1535,0,0,1,0,1,0,1,0
103,2020-01-03 20:25,1040013500,3,1,339.2252,0,1,1,0,1,0,1,0
104,2020-01-03 20:30,1220073300,0,3,341.7569,1,1,1,0,1,0,1,0
105,2020-01-03 21:00,1020006904,3,1,98.9903,0,0,0,0,1,0,0,0
106,2020-01-03 21:35,1220051000,1,3,114.6998,0,1,0,0,1,0,1,0
108,2020-01-04 7:50,1060016802,1,3,166.0769,0,0,1,0,1,0,0,0
109,2020-01-04 7:55,1120006303,1,1,153.6608,0,0,0,0,0,0,0,0
110,2020-01-04 8:40,1210017105,3,1,292.6528,0,0,1,1,1,0,1,0
111,2020-01-04 9:20,1190006702,1,1,426.809,0,0,0,0,0,0,0,0
113,2020-01-04 9:35,1210061200,0,0,304.2148,0,0,0,0,0,0,0,0
114,2020-01-04 9:40,1140059900,0,0,376.3738,0,0,0,0,0,0,0,0
115,2020-01-04 9:50,1100070700,0,3,46.8572,0,0,0,0,0,0,0,0
116,2020-01-04 9:55,1130027702,2,1,112.2364,0,0,0,0,0,0,0,0
119,2020-01-04 10:25,1070040800,0,3,270.2299,1,0,1,1,0,0,0,0
119,2020-01-04 10:25,1070040800,0,3,270.2299,1,0,1,1,0,0,0,0
121,2020-01-04 11:25,1220032303,3,1,113.2208,0,0,0,0,1,0,0,0
121,2020-01-04 11:25,1220032303,3,1,113.2208,0,0,0,0,1,0,0,0
123,2020-01-04 11:30,1170001803,1,0,109.6284,0,0,0,0,0,0,0,0
124,2020-01-04 12:55,1220067200,0,3,99.9764,0,0,0,0,1,0,1,0
125,2020-01-04 13:00,1230082500,1,3,125.8753,0,0,0,0,0,0,0,0
125,2020-01-04 13:00,1230082500,1,3,125.8753,0,0,0,0,0,0,0,0
129,2020-01-04 13:45,1010045900,1,3,127.17,0,0,1,0,0,0,0,0
131,2020-01-04 14:25,1100040400,0,3,289.2919,0,0,0,1,1,0,0,0
134,2020-01-04 15:05,1220030703,2,1,173.8268,0,1,0,0,1,0,1,0
135,2020-01-04 15:30,1000012001,3,1,116.157,0,0,0,0,0,0,0,0
136,2020-01-04 16:30,1090044700,0,3,57.3113,0,0,0,0,0,0,0,0
138,2020-01-04 16:35,1200004902,2,1,99.3758,0,0,0,0,0,0,0,0
139,2020-01-04 16:40,1170029100,0,3,548.9237,1,0,1,1,1,0,1,0
